impl,n,procs,threads,prime_count,t_alloc,t_compute,t_merge,t_io,t_total,rep,sweep
serial,24971000,1,1,1564236,0.000012,1.664362,0.000000,0.043812,1.708187,1,A
pthreads,24971000,1,8,1564236,0.000041,0.528372,0.001414,0.051213,0.581041,1,A
openmp-dynamic-4096,24971000,1,8,1564236,0.000013,0.353918,0.016025,0.062076,0.432034,1,A
serial,24971000,1,1,1564236,0.000015,1.577162,0.000000,0.045131,1.622310,2,A
pthreads,24971000,1,8,1564236,0.000034,0.401216,0.000732,0.050118,0.452100,2,A
openmp-dynamic-4096,24971000,1,8,1564236,0.000010,0.347849,0.018381,0.049372,0.415613,2,A
serial,24971000,1,1,1564236,0.000009,1.604661,0.000000,0.042741,1.647411,3,A
pthreads,24971000,1,8,1564236,0.000039,0.406523,0.001309,0.046642,0.454514,3,A
openmp-dynamic-4096,24971000,1,8,1564236,0.000010,0.351857,0.016169,0.057438,0.425476,3,A
serial,26396000,1,1,1647664,0.000015,1.867907,0.000000,0.050563,1.918486,1,A
pthreads,26396000,1,8,1647664,0.000038,0.548188,0.000808,0.054281,0.603315,1,A
openmp-dynamic-4096,26396000,1,8,1647664,0.000010,0.532453,0.018237,0.060716,0.611418,1,A
serial,26396000,1,1,1647664,0.000013,1.725314,0.000000,0.045486,1.770815,2,A
pthreads,26396000,1,8,1647664,0.000032,0.455697,0.000945,0.051390,0.508065,2,A
openmp-dynamic-4096,26396000,1,8,1647664,0.000008,0.382784,0.017580,0.051438,0.451812,2,A
serial,26396000,1,1,1647664,0.000016,1.739139,0.000000,0.047735,1.786891,3,A
pthreads,26396000,1,8,1647664,0.000034,0.423716,0.001577,0.050987,0.476315,3,A
openmp-dynamic-4096,26396000,1,8,1647664,0.000010,0.384122,0.018260,0.058149,0.460543,3,A
serial,27902000,1,1,1735706,0.000012,1.956480,0.000000,0.047648,2.004141,1,A
pthreads,27902000,1,8,1735706,0.000043,0.454331,0.003016,0.055487,0.512879,1,A
openmp-dynamic-4096,27902000,1,8,1735706,0.000010,0.421304,0.017969,0.055022,0.494308,1,A
serial,27902000,1,1,1735706,0.000017,1.878153,0.000000,0.047944,1.926114,2,A
pthreads,27902000,1,8,1735706,0.000045,0.502245,0.001060,0.054250,0.557601,2,A
openmp-dynamic-4096,27902000,1,8,1735706,0.000010,0.414958,0.020934,0.055458,0.491362,2,A
serial,27902000,1,1,1735706,0.000014,1.914804,0.000000,0.049586,1.964405,3,A
pthreads,27902000,1,8,1735706,0.000033,0.479959,0.001035,0.053639,0.534666,3,A
openmp-dynamic-4096,27902000,1,8,1735706,0.000012,0.449624,0.019751,0.058847,0.528235,3,A
serial,29494000,1,1,1828356,0.000017,2.175280,0.000000,0.053245,2.228542,1,A
pthreads,29494000,1,8,1828356,0.000045,0.553861,0.000845,0.070204,0.624956,1,A
openmp-dynamic-4096,29494000,1,8,1828356,0.000007,0.615717,0.023621,0.059178,0.698526,1,A
serial,29494000,1,1,1828356,0.000011,2.038097,0.000000,0.049042,2.087151,2,A
pthreads,29494000,1,8,1828356,0.000048,0.479305,0.001821,0.057272,0.538447,2,A
openmp-dynamic-4096,29494000,1,8,1828356,0.000013,0.459054,0.018495,0.057219,0.534783,2,A
serial,29494000,1,1,1828356,0.000017,1.995391,0.000000,0.057710,2.053119,3,A
pthreads,29494000,1,8,1828356,0.000022,0.500842,0.001479,0.056565,0.558908,3,A
openmp-dynamic-4096,29494000,1,8,1828356,0.000015,0.452455,0.020313,0.065777,0.538561,3,A
